Comune,Conteggio,Provincia
ALMENNO SAN BARTOLOMEO,61,BG
GESSATE,61,MI
VAILATE,61,CR
INVERUNO,60,MI
SAN PAOLO D'ARGON,60,BG
ROBBIO,60,PV
NUVOLERA,60,BS
SAN MARTINO IN STRADA,60,LO
SAN ROCCO AL PORTO,60,LO
BERBENNO DI VALTELLINA,60,SO
TAVERNERIO,60,CO
SIRMIONE,59,BS
ISORELLA,59,BS
SERGNANO,59,CR
POGLIANO MILANESE,59,MI
CHIUDUNO,59,BG
BERZO INFERIORE,58,BS
ARCENE,58,BG
PRALBOINO,58,BS
CAPRIANO DEL COLLE,58,BS
VERGIATE,58,VA
CENE,58,BG
CASSANO MAGNAGO,57,VA
OPERA,57,MI
MESERO,57,MI
CISANO BERGAMASCO,57,BG
CASNIGO,57,BG
TAVAZZANO CON VILLAVESCO,57,LO
POZZUOLO MARTESANA,57,MI
LESMO,57,MB
CASEI GEROLA,56,PV
CIVATE,56,LC
CISERANO,56,BG
ANNICCO,56,CR
MONTICELLO BRIANZA,56,LC
CASALMORANO,56,CR
TURATE,56,CO
BRUSAPORTO,56,BG
OSIO SOPRA,56,BG
CALCINATE,55,BG
VILLONGO,55,BG
VARZI,55,PV
VIGNATE,55,MI
PIADENA DRIZZONA,55,CR
PRESEZZO,55,BG
BELLAGIO,54,CO
FIORANO AL SERIO,54,BG
PIAN CAMUNO,54,BS
BONATE SOTTO,54,BG
TRENZANO,54,BS
OLGINATE,54,LC
VEDANO AL LAMBRO,54,MB
PORTO MANTOVANO,54,MN
GRAVEDONA ED UNITI,53,CO
CERMENATE,53,CO
VERDERIO,53,LC
ROMANENGO,53,CR
TELGATE,53,BG
SOTTO IL MONTE GIOVANNI XXIII,52,BG
APPIANO GENTILE,52,CO
POZZO D'ADDA,52,MI
FINO MORNASCO,52,CO
BOLTIERE,52,BG
LENTATE SUL SEVESO,52,MB
DELLO,52,BS
SABBIONETA,52,MN
ALBAVILLA,51,CO
CARNATE,51,MB
CANEGRATE,51,MI
FARA GERA D'ADDA,50,BG
PONTIROLO NUOVO,50,BG
SORDIO,50,LO
RIPALTA CREMASCA,50,CR
TREMEZZINA,50,CO
TALAMONA,50,SO
BAGNOLO CREMASCO,50,CR
SERRAVALLE A PO,49,MN
PANTIGLIATE,49,MI
RIVAROLO MANTOVANO,49,MN
VIZZOLO PREDABISSI,49,MI
LEVATE,48,BG
PERLEDO,48,LC
PONCARALE,48,BS
BAGNATICA,48,BG
SANNAZZARO DE' BURGONDI,48,PV
CIVIDATE CAMUNO,48,BS
CERVESINA,48,PV
BOTTANUCO,47,BG
ROGNO,47,BG
CANONICA D'ADDA,47,BG
URAGO D'OGLIO,46,BS
LOGRATO,46,BS
PARRE,46,BG
RESCALDINA,46,MI
ROBBIATE,46,LC
MULAZZANO,46,LO
MARCHENO,46,BS
SAN GIOVANNI IN CROCE,46,CR
AGNADELLO,45,CR
GHISALBA,45,BG
CARDANO AL CAMPO,45,VA
ROCCAFRANCA,45,BS
MONTODINE,45,CR
OLGIATE COMASCO,45,CO
CALCIO,45,BG
LAZZATE,44,MB
MOGLIA,44,MN
CASELLE LURANI,44,LO
BARBARIGA,44,BS
GONZAGA,44,MN
COVO,44,BG
COLLEBEATO,44,BS
BARLASSINA,44,MB
MARONE,43,BS
ZELO BUON PERSICO,43,LO
BAGNOLO SAN VITO,43,MN
ARDENNO,43,SO
ALZATE BRIANZA,43,CO
OLGIATE OLONA,43,VA
CASTANO PRIMO,42,MI
ENDINE GAIANO,42,BG
BELLANO,42,LC
PIAZZA BREMBANA,42,BG
SAN ZENO NAVIGLIO,42,BS
PAVONE DEL MELLA,42,BS
DOSOLO,41,MN
GUSSOLA,41,CR
POMPIANO,41,BS
ARDESIO,41,BG
GROPELLO CAIROLI,41,PV
CAMPOSPINOSO,41,PV
ALFIANELLO,41,BS
GIANICO,41,BS
CALCO,41,LC
CARVICO,41,BG
SOMAGLIA,41,LO
MISSAGLIA,41,LC
USMATE VELATE,41,MB
BONEMERSE,41,CR
VERANO BRIANZA,40,MB
CAPIAGO INTIMIANO,40,CO
ARCONATE,40,MI
BOZZOLO,40,MN
VAIANO CREMASCO,40,CR
OME,40,BS
CORTE DE' FRATI,39,CR
MANDELLO DEL LARIO,39,LC
VEROLAVECCHIA,39,BS
BALLABIO,39,LC
SERLE,39,BS
CERNUSCO LOMBARDONE,39,LC
CELLATICA,39,BS
CURA CARPIGNANO,39,PV
MADONE,38,BG
DIZZASCO,38,CO
SCANDOLARA RAVARA,38,CR
LALLIO,38,BG
SESTO ED UNITI,38,CR
FOMBIO,38,LO
CASTEL ROZZONE,38,BG
VILLA D'OGNA,38,BG
ANGOLO TERME,38,BS
ACQUANEGRA CREMONESE,38,CR
ALBONESE,38,PV
ACQUANEGRA SUL CHIESE,38,MN
COMEZZANO-CIZZAGO,38,BS
MANERBA DEL GARDA,38,BS
ZAVATTARELLO,38,PV
TRUCCAZZANO,38,MI
CAPONAGO,37,MB
COLZATE,37,BG
SAN ZENONE AL LAMBRO,37,MI
SOLBIATE CON CAGNO,37,CO
BASIGLIO,37,MI
VILLANTERIO,37,PV
PIEVE PORTO MORONE,37,PV
SALE MARASINO,37,BS
CASTELGERUNDO,37,LO
PIANENGO,37,CR
INTROBIO,37,LC
POGGIO RUSCO,37,MN
BORGO MANTOVANO,37,MN
SALA COMACINA,36,CO
CASTELNUOVO BOCCA D'ADDA,36,LO
BREMBIO,36,LO
SUELLO,36,LC
COMUN NUOVO,36,BG
FRASCAROLO,36,PV
SETTALA,36,MI
OFFLAGA,36,BS
SEDRINA,36,BG
REMEDELLO,36,BS
MALEGNO,36,BS
CAPRINO BERGAMASCO,36,BG
ORIGGIO,35,VA
CORNEGLIANO LAUDENSE,35,LO
VEDUGGIO CON COLZANO,35,MB
VELLEZZO BELLINI,35,PV
CASIRATE D'ADDA,35,BG
PADERNO FRANCIACORTA,35,BS
MENCONICO,35,PV
GAMBARA,35,BS
SAN GIORGIO BIGARELLO,35,MN
SUISIO,35,BG
BORMIO,35,SO
MARCALLO CON CASONE,35,MI
LIPOMO,35,CO
ROE' VOLCIANO,34,BS
BARIANO,34,BG
TRESCORE CREMASCO,34,CR
CAROBBIO DEGLI ANGELI,34,BG
GUARDAMIGLIO,34,LO
CAVRIANA,34,MN
PREGNANA MILANESE,34,MI
SPINADESCO,34,CR
LIVIGNO,34,SO
MASSALENGO,34,LO
CISLAGO,34,VA
MACHERIO,34,MB
SPINO D'ADDA,34,CR
VALFURVA,34,SO
CASALETTO VAPRIO,34,CR
ALTA VALLE INTELVI,34,CO
CASALOLDO,34,MN
GORNO,34,BG
FILAGO,33,BG
MAGNAGO,33,MI
VILLA GUARDIA,33,CO
COSTA MASNAGA,33,LC
FORESTO SPARSO,33,BG
SAN GIORGIO SU LEGNANO,33,MI
VALLE LOMELLINA,33,PV
ZEME,33,PV
CENATE SOTTO,33,BG
SAMARATE,33,VA
CUGGIONO,33,MI
ASSAGO,33,MI
ISOLA DOVARESE,32,CR
COGLIATE,32,MB
FERNO,32,VA
FAGNANO OLONA,32,VA
OSTIGLIA,32,MN
SONDALO,32,SO
FORNOVO SAN GIOVANNI,32,BG
RUDIANO,32,BS
VALDIDENTRO,32,SO
FONTANELLA,32,BG
LACCHIARELLA,32,MI
PREVALLE,32,BS
SAN MARTINO SICCOMARIO,32,PV
CETO,32,BS
TRIUGGIO,32,MB
MERONE,31,CO
MISANO DI GERA D'ADDA,31,BG
COLICO,31,LC
SAN FIORANO,31,LO
GODIASCO,31,PV
CIGOLE,31,BS
SECUGNAGO,31,LO
CASALMAIOCCO,31,LO
GROMO,31,BG
SANTO STEFANO LODIGIANO,31,LO
TAVERNOLA BERGAMASCA,31,BG
MONTELLO,31,BG
BASIANO,31,MI
PEZZAZE,31,BS
PONTIDA,31,BG
LA VALLETTA BRIANZA,31,LC
LUINO,31,VA
SAN FERMO DELLA BATTAGLIA,31,CO
OSSONA,31,MI
TEMU',31,BS
LISCATE,31,MI
MADIGNANO,31,CR
CIGOGNOLA,31,PV
GAGGIANO,31,MI
MIRADOLO TERME,30,PV
DOVERA,30,CR
MORNICO AL SERIO,30,BG
CASSAGO BRIANZA,30,LC
SIZIANO,30,PV
DRESANO,30,MI
AZZANO MELLA,30,BS
PIARIO,30,BG
LURANO,30,BG
SERINA,30,BG
CHIGNOLO D'ISOLA,30,BG
LANDRIANO,30,PV
VALBONDIONE,29,BG
ROBECCO SUL NAVIGLIO,29,MI
BERZO DEMO,29,BS
PALAZZAGO,29,BG
RONCELLO,29,MB
PONTE NOSSA,29,BG
PINAROLO PO,29,PV
GERRE DE' CAPRIOLI,29,CR
ORZIVECCHI,29,BS
MEZZAGO,29,MB
PADERNO D'ADDA,29,LC
MALAGNINO,29,CR
SANT'OMOBONO TERME,29,BG
PREMANA,29,LC
RENATE,28,MB
MORENGO,28,BG
MALGRATE,28,LC
MARTIGNANA DI PO,28,CR
ASSO,28,CO
SANTO STEFANO TICINO,28,MI
CASOREZZO,28,MI
OSNAGO,28,LC
COMERIO,28,VA
ROVELLASCA,28,CO
GERENZANO,28,VA
CADORAGO,28,CO
VERCURAGO,28,LC
ARCISATE,28,VA
MOZZATE,28,CO
ORNAGO,28,MB
PREDORE,28,BG
GRAFFIGNANA,28,LO
ZANDOBBIO,27,BG
LOMAZZO,27,CO
GRUMELLO CREMONESE ED UNITI,27,CR
BRIOSCO,27,MB
VEZZA D'OGLIO,27,BS
BERBENNO,27,BG
BRESSANA BOTTARONE,27,PV
VALMOREA,27,CO
CASALMORO,27,MN
RODENGO SAIANO,27,BS
LOMAGNA,27,LC
CORZANO,27,BS
BASSANO BRESCIANO,27,BS
BERLINGO,27,BS
STAGNO LOMBARDO,27,CR
CERNOBBIO,27,CO
COSIO VALTELLINO,27,SO
TRAVACO' SICCOMARIO,27,PV
CAPERGNANICA,26,CR
GROSIO,26,SO
GADESCO PIEVE DELMONA,26,CR
ROVERBELLA,26,MN
SOVICO,26,MB
GIUSSAGO,26,PV
GARDONE RIVIERA,26,BS
CASNATE CON BERNATE,26,CO
CORTENO GOLGI,26,BS
NUVOLENTO,26,BS
PADERNO PONCHIELLI,26,CR
SENIGA,26,BS
CESANA BRIANZA,26,LC
CAVENAGO D'ADDA,26,LO
VALDISOTTO,25,SO
SOLAROLO RAINERIO,25,CR
RIVAROLO DEL RE ED UNITI,25,CR
PUEGNAGO SUL GARDA,25,BS
POMPONESCO,25,MN
CAMBIAGO,25,MI
SAN FELICE DEL BENACO,25,BS
TURANO LODIGIANO,25,LO
CERIANO LAGHETTO,25,MB
CASELLE LANDI,25,LO
MEDE,25,PV
SALERANO SUL LAMBRO,25,LO
BARZANO',25,LC
COSTA DI MEZZATE,25,BG
CREDARO,25,BG
FIGINO SERENZA,25,CO
AGNOSINE,25,BS
CAZZANO SANT'ANDREA,24,BG
MOZZANICA,24,BG
SAN DANIELE PO,24,CR
POZZAGLIO ED UNITI,24,CR
IZANO,24,CR
TREZZANO ROSA,24,MI
ACQUAFREDDA,24,BS
SANTA CRISTINA E BISSONE,24,PV
ALBIATE,24,MB
PONTE DI LEGNO,24,BS
LODRINO,24,BS
POZZOLENGO,24,BS
ROSATE,24,MI
CERVIGNANO D'ADDA,24,LO
RONCO BRIANTINO,24,MB
SAN MARTINO DALL'ARGINE,23,MN
COLERE,23,BG
PEIA,23,BG
CASTIRAGA VIDARDO,23,LO
OSPEDALETTO LODIGIANO,23,LO
FIESCO,23,CR
FERRERA ERBOGNONE,23,PV
ODOLO,23,BS
CENATE SOPRA,23,BG
PALAZZO PIGNANO,23,CR
VISANO,23,BS
CASARILE,23,MI
AMBIVERE,23,BG
PIEVE D'OLMI,23,CR
OSSIMO,23,BS
BESOZZO,23,VA
TORREVECCHIA PIA,23,PV
BORGO SAN GIOVANNI,23,LO
CERRO AL LAMBRO,22,MI
MARMIROLO,22,MN
BESANO,22,VA
MAIRANO,22,BS
CORNO GIOVINE,22,LO
CUVIO,22,VA
CORTEOLONA E GENZONE,22,PV
POLPENAZZE DEL GARDA,22,BS
BREGNANO,22,CO
LURAGO D'ERBA,22,CO
INDUNO OLONA,22,VA
TRIBIANO,22,MI
NIARDO,22,BS
RANZANICO,22,BG
MONIGA DEL GARDA,22,BS
VEDANO OLONA,22,VA
CORTE PALASIO,22,LO
BOSISIO PARINI,22,LC
GRANDATE,22,CO
MELETI,22,LO
SENNA LODIGIANA,22,LO
CARUGO,22,CO
ORIO AL SERIO,22,BG
VERMEZZO CON ZELO,21,MI
MOTTA VISCONTI,21,MI
VIGANO',21,LC
SAN GERVASIO BRESCIANO,21,BS
SOLTO COLLINA,21,BG
SELLERO,21,BS
MONTANO LUCINO,21,CO
OGGIONA CON SANTO STEFANO,21,VA
PIEVE SAN GIACOMO,21,CR
ROGENO,21,LC
LINAROLO,21,PV
ROVELLO PORRO,21,CO
SOLBIATE OLONA,21,VA
PESCAROLO ED UNITI,21,CR
GABBIONETA BINANUOVA,21,CR
CEVO,21,BS
QUINTANO,21,CR
MONTANASO LOMBARDO,21,LO
PIANICO,20,BG
BARZANA,20,BG
SELVINO,20,BG
BERZO SAN FERMO,20,BG
OLMENETA,20,CR
SONGAVAZZO,20,BG
PAITONE,20,BS
BOVEGNO,20,BS
LEZZENO,20,CO
CABIATE,20,CO
ONO SAN PIETRO,20,BS
GANDOSSO,20,BG
GRONTARDO,20,CR
CEDEGOLO,20,BS
FORMIGARA,20,CR
CORTENUOVA,20,BG
CASTO,20,BS
POLAVENO,20,BS
INVERNO E MONTELEONE,20,PV
CASTIGLIONE OLONA,20,VA
MASATE,20,MI
GRAVELLONA LOMELLINA,20,PV
IMBERSAGO,20,LC
GREZZAGO,20,MI
MISINTO,20,MB
TROMELLO,20,PV
PARONA,20,PV
MARNATE,20,VA
MEDOLE,20,MN
GAZOLDO DEGLI IPPOLITI,20,MN
VENEGONO INFERIORE,20,VA
VENEGONO SUPERIORE,20,VA
ARENA PO,19,PV
POGNANO,19,BG
SONICO,19,BS
CANTELLO,19,VA
AIRUNO,19,LC
MEDOLAGO,19,BG
CAPRALBA,19,CR
CISLIANO,19,MI
ZIBIDO SAN GIACOMO,19,MI
VILLACHIARA,19,BS
UBOLDO,19,VA
RETORBIDO,19,PV
CASALE CREMASCO-VIDOLASCO,19,CR
CASSINA RIZZARDI,19,CO
CREDERA RUBBIANO,19,CR
SESTO CALENDE,19,VA
BIONE,19,BS
CASPOGGIO,18,SO
LUNGAVILLA,18,PV
NIBIONNO,18,LC
LOMELLO,18,PV
LOZIO,18,BS
SANTA GIULETTA,18,PV
TORRE DE' ROVERI,18,BG
SULZANO,18,BS
LONATE CEPPINO,18,VA
CAVERNAGO,18,BG
CERETE,18,BG
BELLINZAGO LOMBARDO,18,MI
ENTRATICO,18,BG
SCHILPARIO,18,BG
ROBECCHETTO CON INDUNO,18,MI
CALVATONE,18,CR
CASTELLUCCHIO,18,MN
PREMOLO,18,BG
CASALROMANO,18,MN
MONTAGNA IN VALTELLINA,18,SO
BORGARELLO,17,PV
RODANO,17,MI
VIONE,17,BS
CANDIA LOMELLINA,17,PV
NOVIGLIO,17,MI
DAIRAGO,17,MI
EUPILIO,17,CO
VALBRONA,17,CO
CRESPIATICA,17,LO
MENAGGIO,17,CO
BORDOLANO,17,CR
PUMENENGO,17,BG
ANNONE DI BRIANZA,17,LC
DELEBIO,17,SO
OLTRE IL COLLE,17,BG
CHIEVE,17,CR
CASTRO,17,BG
CUNARDO,17,VA
SAN GENESIO ED UNITI,17,PV
CAPIZZONE,17,BG
CICOGNOLO,17,CR
RIPALTA ARPINA,17,CR
MONTEBELLO DELLA BATTAGLIA,17,PV
LURATE CACCIVIO,17,CO
VILLA DI TIRANO,16,SO
CASTEL D'ARIO,16,MN
FIESSE,16,BS
CAMISANO,16,CR
BULCIAGO,16,LC
PONTE LAMBRO,16,CO
DOSSENA,16,BG
SULBIATE,16,MB
MOTTA BALUFFI,16,CR
GORLA MAGGIORE,16,VA
VALGREGHENTINO,16,LC
ABBADIA LARIANA,16,LC
CREMENO,16,LC
MONZAMBANO,16,MN
QUISTELLO,16,MN
GERENZAGO,16,PV
GARLATE,16,LC
PORTALBERA,16,PV
VILMINORE DI SCALVE,16,BG
ZINASCO,16,PV
MILZANO,16,BS
VERTEMATE CON MINOPRIO,16,CO
GODIASCO SALICE TERME,15,PV
BRENNA,15,CO
VALERA FRATTA,15,LO
IDRO,15,BS
ORIO LITTA,15,LO
CERVENO,15,BS
LONGONE AL SEGRINO,15,CO
OSSAGO LODIGIANO,15,LO
CITTIGLIO,15,VA
ONORE,15,BG
CASORATE SEMPIONE,15,VA
GAZZUOLO,15,MN
MONTE ISOLA,15,BS
MUSCOLINE,15,BS
CAIRATE,15,VA
BESNATE,15,VA
ARSAGO SEPRIO,15,VA
TORRE DE' BUSI,15,BG
VERNATE,15,MI
BIANZONE,15,SO
BEREGUARDO,15,PV
SOLZA,15,BG
CAVARIA CON PREMEZZO,15,VA
ADRARA SAN MARTINO,15,BG
BARZAGO,15,LC
TORRE DE' PICENARDI,15,CR
DOLZAGO,15,LC
CORTE DE' CORTESI CON CIGNONE,15,CR
SALVIROLA,15,CR
CREMOSANO,15,CR
BASTIDA PANCARANA,14,PV
ALBIZZATE,14,VA
CASALETTO CEREDANO,14,CR
PONTE NIZZA,14,PV
PIEVE FISSIRAGA,14,LO
BORNASCO,14,PV
CORNA IMAGNA,14,BG
CUCCIAGO,14,CO
MOTTEGGIANA,14,MN
TRESIVIO,14,SO
MONTE CREMASCO,14,CR
BUSCATE,14,MI
SARTIRANA LOMELLINA,14,PV
VALLIO TERME,14,BS
CUSAGO,14,MI
